2,12,10K,R-US_R0805,R0805,"R6, R42","10K ohms, 0805",Digikey,P10KACT-ND,$0.10 ,$0.20 
1,6,22K,R-US_R0805,R0805,R46,"22K ohms, 0805",Digikey,P22KACT-ND,$0.10 ,$0.10 
2,12,100K,R-US_R1206,R1206,"R8, R12","100K ohm, 1206",Digikey,P100KECT-ND,$0.10 ,$0.20 
1,6,100K,R-US_R0805,R0805,R45,"100K ohm, 0805",Digikey,P100KACT-ND,$0.10 ,$0.10 
1,6,1.5M,R-US_R0805,R0805,R41,"1.5M ohm, 0805",Digikey,P1.5MACT-ND,$0.10 ,$0.10 
2,12,1M,R-US_R0805,R0805,"R39, R44","1M ohm, 0805",Digikey,P1.0MACT-ND,$0.10 ,$0.20 
2,12,10M,R-US_R0805,R0805,"R40, R43","10M ohm, 0805",Digikey,P10MACT-ND,$0.10 ,$0.20 
1,6,HFBR-2521,HFBR-2521,HFBR-15X3,XR1,FIBER OPTIC RCVR 1.67V VERSATILE,Digikey,516-2305-5-ND,$12.72 ,$12.72 
1,6,,,,,FIBER OPTIC TRANSMITTER 660NM,Digikey,516-2304-5-ND,$12.72 ,$12.72 
1,6,,,,,FIBER OPTIC CBL LATCH SIMPLEX 1M,Digikey,516-2088-ND,$6.07 ,$6.07 
1,6,,,,,"BOX ABS GRAY 6.16""L X 3.68""W",Digikey,HM245-ND,$15.48 ,$15.48 
1,6,"12V, 6W",,,,12V 6W wall power supply,Digikey,102-3597-ND,$10.51 ,$10.51 
1,6,14V,,,,"Overvoltage protection diode, 14V, 5 watt",Digikey,1N5351BGOS-ND,$0.50 ,$0.50 
